MS46122B
!6/28/2021.11:44:44.AM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 2
!TRACE:       	TRACE.1           	TRACE.2           
!PARAMETER:   	S11               	S12               
!PORT:        	PORT1             	PORT2             
!GRAPH:       	SWR               	LOGMAG            
!SMOOTHING:   	OFF               	OFF               
!TIMEDOMAIN:  	OFF               	OFF               
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT,FREQ1.GHZ,SWR1,FREQ2.GHZ,LOGMAG2
1,0.010000000,1.004985E+000,0.010000000,-2.957989E+001
2,0.209950000,1.062198E+000,0.209950000,-2.967112E+001
3,0.409900000,1.111890E+000,0.409900000,-2.973578E+001
4,0.609850000,1.148825E+000,0.609850000,-2.979111E+001
5,0.809800000,1.168544E+000,0.809800000,-2.985369E+001
6,1.009750000,1.176282E+000,1.009750000,-2.984857E+001
7,1.209700000,1.182025E+000,1.209700000,-2.993593E+001
8,1.409650000,1.185884E+000,1.409650000,-2.998439E+001
9,1.609600000,1.202773E+000,1.609600000,-2.999081E+001
10,1.809550000,1.227568E+000,1.809550000,-2.998507E+001
11,2.009500000,1.256059E+000,2.009500000,-2.992132E+001
12,2.209450000,1.289468E+000,2.209450000,-2.992813E+001
13,2.409400000,1.317914E+000,2.409400000,-2.991788E+001
14,2.609350000,1.324453E+000,2.609350000,-2.990070E+001
15,2.809300000,1.302906E+000,2.809300000,-2.982443E+001
16,3.009250000,1.245994E+000,3.009250000,-2.987011E+001
17,3.209200000,1.185836E+000,3.209200000,-2.984019E+001
18,3.409150000,1.147664E+000,3.409150000,-2.981873E+001
19,3.609100000,1.151979E+000,3.609100000,-2.972319E+001
20,3.809050000,1.160934E+000,3.809050000,-2.963020E+001
21,4.009000000,1.156466E+000,4.009000000,-2.965873E+001
22,4.208950000,1.149597E+000,4.208950000,-2.973742E+001
23,4.408900000,1.202131E+000,4.408900000,-2.956295E+001
24,4.608850000,1.275180E+000,4.608850000,-2.979900E+001
25,4.808800000,1.330435E+000,4.808800000,-2.995657E+001
26,5.008750000,1.332633E+000,5.008750000,-3.000912E+001
27,5.208700000,1.294856E+000,5.208700000,-3.000878E+001
28,5.408650000,1.247821E+000,5.408650000,-2.973151E+001
29,5.608600000,1.212376E+000,5.608600000,-3.012407E+001
30,5.808550000,1.197071E+000,5.808550000,-3.018027E+001
31,6.008500000,1.171383E+000,6.008500000,-3.024605E+001
32,6.208450000,1.141995E+000,6.208450000,-3.048326E+001
33,6.408400000,1.149636E+000,6.408400000,-3.079137E+001
34,6.608350000,1.225315E+000,6.608350000,-3.095575E+001
35,6.808300000,1.347157E+000,6.808300000,-3.116472E+001
36,7.008250000,1.487983E+000,7.008250000,-3.142235E+001
37,7.208200000,1.626917E+000,7.208200000,-3.156837E+001
38,7.408150000,1.742501E+000,7.408150000,-3.193130E+001
39,7.608100000,1.807503E+000,7.608100000,-3.251993E+001
40,7.808050000,1.788789E+000,7.808050000,-3.304457E+001
41,8.008000000,1.735620E+000,8.008000000,-3.342213E+001
