MS46122B
!7/7/2021.10:37:58.AM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 2
!TRACE:       ,TRACE.1           ,TRACE.2           
!PARAMETER:   ,S11               ,S12               
!PORT:        ,PORT1             ,PORT2             
!GRAPH:       ,SWR               ,LOGMAG            
!SMOOTHING:   ,OFF               ,OFF               
!TIMEDOMAIN:  ,OFF               ,OFF               
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT,FREQ1.GHZ,SWR1,FREQ2.GHZ,LOGMAG2
1,0.010000000,1.005815E+000,0.010000000,-2.960070E+001
2,0.209950000,1.064541E+000,0.209950000,-2.968052E+001
3,0.409900000,1.112737E+000,0.409900000,-2.974776E+001
4,0.609850000,1.146732E+000,0.609850000,-2.980311E+001
5,0.809800000,1.164333E+000,0.809800000,-2.978063E+001
6,1.009750000,1.173996E+000,1.009750000,-2.987421E+001
7,1.209700000,1.180350E+000,1.209700000,-2.994553E+001
8,1.409650000,1.188695E+000,1.409650000,-2.998773E+001
9,1.609600000,1.203266E+000,1.609600000,-3.000836E+001
10,1.809550000,1.227451E+000,1.809550000,-2.997142E+001
11,2.009500000,1.260205E+000,2.009500000,-2.993854E+001
12,2.209450000,1.294907E+000,2.209450000,-2.994485E+001
13,2.409400000,1.320092E+000,2.409400000,-2.993340E+001
14,2.609350000,1.327664E+000,2.609350000,-2.990303E+001
15,2.809300000,1.302688E+000,2.809300000,-2.983104E+001
16,3.009250000,1.251658E+000,3.009250000,-2.991780E+001
17,3.209200000,1.192587E+000,3.209200000,-2.987901E+001
18,3.409150000,1.161361E+000,3.409150000,-2.983405E+001
19,3.609100000,1.165351E+000,3.609100000,-2.975296E+001
20,3.809050000,1.176506E+000,3.809050000,-2.962193E+001
21,4.009000000,1.178615E+000,4.009000000,-2.967459E+001
22,4.208950000,1.184762E+000,4.208950000,-2.969094E+001
23,4.408900000,1.237770E+000,4.408900000,-2.977509E+001
24,4.608850000,1.313515E+000,4.608850000,-2.999900E+001
25,4.808800000,1.358131E+000,4.808800000,-3.000106E+001
26,5.008750000,1.348599E+000,5.008750000,-3.005418E+001
27,5.208700000,1.295829E+000,5.208700000,-3.003320E+001
28,5.408650000,1.239668E+000,5.408650000,-3.010146E+001
29,5.608600000,1.214487E+000,5.608600000,-3.015576E+001
30,5.808550000,1.203185E+000,5.808550000,-2.986048E+001
31,6.008500000,1.185823E+000,6.008500000,-3.024849E+001
32,6.208450000,1.160735E+000,6.208450000,-3.040575E+001
33,6.408400000,1.178279E+000,6.408400000,-3.067407E+001
34,6.608350000,1.259766E+000,6.608350000,-3.093391E+001
35,6.808300000,1.372978E+000,6.808300000,-3.116954E+001
36,7.008250000,1.493927E+000,7.008250000,-3.134023E+001
37,7.208200000,1.602339E+000,7.208200000,-3.185706E+001
38,7.408150000,1.687870E+000,7.408150000,-3.223537E+001
39,7.608100000,1.735594E+000,7.608100000,-3.276229E+001
40,7.808050000,1.734223E+000,7.808050000,-3.322618E+001
41,8.008000000,1.680734E+000,8.008000000,-3.346676E+001
