MS46122B
!7/8/2021.9:44:10.AM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 2
!TRACE:       ,TRACE.1           ,TRACE.2           
!PARAMETER:   ,S11               ,S12               
!PORT:        ,PORT1             ,PORT2             
!GRAPH:       ,SWR               ,LOGMAG            
!SMOOTHING:   ,OFF               ,OFF               
!TIMEDOMAIN:  ,OFF               ,OFF               
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT,FREQ1.GHZ,SWR1,FREQ2.GHZ,LOGMAG2
1,0.010000000,1.006109E+000,0.010000000,-2.960001E+001
2,0.209950000,1.051696E+000,0.209950000,-2.967090E+001
3,0.409900000,1.089365E+000,0.409900000,-2.972180E+001
4,0.609850000,1.117303E+000,0.609850000,-2.976532E+001
5,0.809800000,1.133414E+000,0.809800000,-2.980550E+001
6,1.009750000,1.142217E+000,1.009750000,-2.986011E+001
7,1.209700000,1.148587E+000,1.209700000,-2.991682E+001
8,1.409650000,1.156177E+000,1.409650000,-2.995659E+001
9,1.609600000,1.169255E+000,1.609600000,-2.996597E+001
10,1.809550000,1.189960E+000,1.809550000,-2.996435E+001
11,2.009500000,1.215734E+000,2.009500000,-2.995446E+001
12,2.209450000,1.244680E+000,2.209450000,-2.993773E+001
13,2.409400000,1.266500E+000,2.409400000,-2.991319E+001
14,2.609350000,1.273494E+000,2.609350000,-2.990082E+001
15,2.809300000,1.254752E+000,2.809300000,-2.990965E+001
16,3.009250000,1.210336E+000,3.009250000,-2.990804E+001
17,3.209200000,1.151057E+000,3.209200000,-2.987201E+001
18,3.409150000,1.108583E+000,3.409150000,-2.984339E+001
19,3.609100000,1.108114E+000,3.609100000,-2.982397E+001
20,3.809050000,1.127738E+000,3.809050000,-2.981591E+001
21,4.009000000,1.142406E+000,4.009000000,-2.977780E+001
22,4.208950000,1.162834E+000,4.208950000,-2.974665E+001
23,4.408900000,1.220542E+000,4.408900000,-2.980057E+001
24,4.608850000,1.290356E+000,4.608850000,-2.983083E+001
25,4.808800000,1.334295E+000,4.808800000,-2.994542E+001
26,5.008750000,1.325719E+000,5.008750000,-2.998797E+001
27,5.208700000,1.273491E+000,5.208700000,-3.001008E+001
28,5.408650000,1.209607E+000,5.408650000,-3.003516E+001
29,5.608600000,1.168451E+000,5.608600000,-3.013865E+001
30,5.808550000,1.150719E+000,5.808550000,-3.020442E+001
31,6.008500000,1.136364E+000,6.008500000,-3.028934E+001
32,6.208450000,1.134763E+000,6.208450000,-3.050196E+001
33,6.408400000,1.181592E+000,6.408400000,-3.073153E+001
34,6.608350000,1.271362E+000,6.608350000,-3.106163E+001
35,6.808300000,1.377864E+000,6.808300000,-3.146021E+001
36,7.008250000,1.482789E+000,7.008250000,-3.179478E+001
37,7.208200000,1.578475E+000,7.208200000,-3.217319E+001
38,7.408150000,1.658944E+000,7.408150000,-3.257443E+001
39,7.608100000,1.699524E+000,7.608100000,-3.300607E+001
40,7.808050000,1.681417E+000,7.808050000,-3.363811E+001
41,8.008000000,1.595722E+000,8.008000000,-3.428185E+001
