Frequency,VSWR,s1,S21(db),fg,hjgfty,tyjt,fdghf,trh
10000000,-3.69E+01,9.44E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
134975000,-4.53E+01,4.16E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
259950000,-4.57E+01,3.71E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
384925000,-4.70E+01,2.31E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
509900000,-4.59E+01,2.60E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
634875000,-4.48E+01,2.67E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
759850000,-4.39E+01,2.49E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
884825000,-4.32E+01,2.37E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
1009800000,-4.29E+01,2.31E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
1134775000,-4.22E+01,2.17E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
1259750000,-4.18E+01,2.07E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
1384725000,-4.15E+01,2.01E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
1509700000,-4.14E+01,1.88E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
1634675000,-4.12E+01,1.84E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
1759650000,-4.12E+01,1.88E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
1884625000,-4.13E+01,1.74E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
2009600000,-4.14E+01,1.63E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
2134575000,-4.14E+01,1.63E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
2259550000,-4.15E+01,1.64E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
2384525000,-4.14E+01,1.57E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
2509500000,-4.14E+01,1.35E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
2634475000,-4.15E+01,1.24E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
2759450000,-4.16E+01,1.11E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
2884425000,-4.17E+01,8.92E+00,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
3009400000,-4.17E+01,9.01E+00,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
3134375000,-4.18E+01,1.03E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
3259350000,-4.17E+01,1.01E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
3384325000,-4.16E+01,9.90E+00,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01,-2.00E+02,4.50E+01
